Date,ASIANPAINT.BO,AXISBANK.BO,BAJAJ-AUTO.BO,BAJFINANCE.BO,BAJAJFINSV.BO,BHARTIARTL.BO,DRREDDY.BO,HCLTECH.BO,HDFC.BO,HDFCBANK.BO,HINDUNILVR.BO,ICICIBANK.BO,INDUSINDBK.BO,INFY.BO,ITC.BO,KOTAKBANK.BO,LT.BO,M&M.BO,MARUTI.BO,NESTLEIND.BO,NTPC.BO,ONGC.BO,POWERGRID.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TCS.BO,TECHM.BO,TITAN.BO,ULTRACEMCO.BO
2020-02-14,1865.1962890625,736.4000244140625,3009.2421875,4772.28759765625,9675.7119140625,563.0775756835938,3286.32958984375,612.4708251953125,2348.3271484375,1219.25,2215.6904296875,545.8499755859375,1176.3499755859375,767.4037475585938,193.00575256347656,1681.699951171875,1241.905029296875,520.81494140625,6852.22021484375,16041.9375,102.408447265625,94.50302124023438,169.20924377441406,1481.0897216796875,319.54998779296875,411.165771484375,2143.494873046875,800.8577270507812,1282.510498046875,4418.46728515625
2020-02-17,1869.3199462890625,738.0499877929688,2942.96240234375,4764.9541015625,9517.900390625,562.9779663085938,3272.5185546875,604.5857543945312,2298.147216796875,1216.800048828125,2211.6123046875,541.75,1172.75,770.5272827148438,190.2186584472656,1691.1500244140625,1228.0943603515625,520.4664306640625,6842.70556640625,16261.755859375,100.0933609008789,91.48258972167967,168.6119842529297,1472.87060546875,314.20001220703125,404.3385925292969,2162.585693359375,800.0413818359375,1306.4288330078125,4436.759765625
2020-02-18,1851.3853759765625,733.4000244140625,2950.236328125,4742.15625,9525.396484375,545.7897338867188,3229.396240234375,598.2777099609375,2272.421630859375,1213.550048828125,2194.12158203125,541.2999877929688,1144.1500244140625,778.384765625,189.42898559570312,1691.050048828125,1233.609130859375,521.0140991210938,6711.63427734375,16091.0419921875,99.59403228759766,90.84188842773438,169.99026489257812,1446.848388671875,317.6000061035156,404.3880615234375,2174.413330078125,805.275146484375,1301.2183837890625,4455.35107421875
2020-02-19,1874.1884765625,741.2000122070312,2957.36669921875,4865.82275390625,9752.1181640625,541.4054565429688,3255.875732421875,596.9963989257812,2325.48681640625,1226.0999755859375,2253.6689453125,544.75,1141.0,781.55712890625,192.0302581787109,1700.0,1228.95751953125,523.7523193359375,6696.22314453125,16459.10546875,101.7275390625,93.08433532714844,172.2415008544922,1484.4481201171875,320.25,398.9955749511719,2154.095703125,807.5799560546875,1319.8768310546875,4458.5908203125
2020-02-20,1831.0660400390625,743.9500122070312,2933.00830078125,4869.51416015625,9704.0458984375,543.5477905273438,3235.656005859375,599.4112548828125,2319.128662109375,1217.300048828125,2208.811767578125,546.6500244140625,1181.75,777.6527099609375,192.6805877685547,1686.699951171875,1228.4300537109375,522.5076904296875,6694.43896484375,16231.6357421875,101.1374282836914,94.13690948486328,173.9873504638672,1465.99365234375,327.6499938964844,400.6281433105469,2116.50244140625,796.6322631835938,1312.73095703125,4417.271484375
2020-02-24,1807.1201171875,725.7999877929688,2852.2763671875,4792.34130859375,9461.2822265625,527.9039306640625,3152.988525390625,586.5980834960938,2242.783447265625,1210.0,2177.514892578125,529.5499877929688,1170.550048828125,776.2373657226562,188.5928497314453,1678.3499755859375,1208.0018310546875,510.857666015625,6410.54248046875,16031.4873046875,99.6394271850586,89.69778442382812,171.41452026367188,1425.87744140625,322.8999938964844,393.8504333496094,2077.24072265625,787.6052856445312,1270.154296875,4383.3779296875
2020-02-25,1813.57861328125,728.9000244140625,2823.706787109375,4814.490234375,9521.798828125,533.43408203125,3071.56298828125,574.2776489257812,2253.24951171875,1200.25,2193.630126953125,531.2000122070312,1153.9000244140625,779.2632446289062,187.4315643310547,1676.300048828125,1191.5537109375,507.5220031738281,6355.23974609375,16057.2919921875,100.00257873535156,89.28590393066406,171.13885498046875,1397.702392578125,326.6000061035156,384.5001220703125,2116.10986328125,791.1104125976562,1250.7515869140625,4330.7939453125
2020-02-26,1814.870361328125,729.75,2820.93115234375,4798.7265625,9380.927734375,534.5301513671875,3055.96337890625,575.6082153320312,2231.24072265625,1199.6500244140625,2202.03173828125,523.6500244140625,1135.050048828125,763.9874267578125,184.4586944580078,1666.1500244140625,1161.8702392578125,501.3484802246094,6181.998046875,15952.9501953125,99.1400909423828,87.68415832519531,171.0010223388672,1373.12939453125,328.25,370.6478271484375,2083.8662109375,779.0104370117188,1246.0870361328125,4332.6376953125
2020-02-27,1832.5565185546875,735.6500244140625,2811.40771484375,4749.0908203125,9402.265625,529.8967895507812,3049.00830078125,565.8997802734375,2224.00244140625,1199.3499755859375,2213.72509765625,514.9500122070312,1115.5999755859375,759.0093383789062,183.4832000732422,1683.300048828125,1160.3358154296875,491.2916259765625,6229.8671875,15954.421875,99.00391387939452,85.39595031738281,171.96585083007812,1367.602783203125,321.95001220703125,384.30224609375,2065.069580078125,777.666015625,1270.352783203125,4306.9189453125
2020-02-28,1786.7015380859375,696.75,2766.4716796875,4452.87109375,9053.8115234375,522.1744995117188,2907.07275390625,526.4252319335938,2129.16943359375,1177.5999755859375,2137.128662109375,496.0499877929688,1104.0,713.8650512695312,183.57611083984372,1619.6500244140625,1134.584716796875,454.4497375488281,6227.984375,15472.6953125,96.7342300415039,84.16031646728516,166.7742462158203,1311.2032470703125,302.8999938964844,369.0152587890625,1964.01953125,714.3810424804688,1245.2930908203125,4206.43603515625
